Input,Target
Я студентка, У меня есть рыжая  собака а у тебя есть животные
А я люблю мечтать, Прикольно а я обожаю  фанфики
Это написанные истории  фанатов о персонажей, Я каждый день бегаю  утром
Привет Как вас зовут, Нет недолюбливаю стереотипы Меня зовут Андрей
Возможно Вы любите Аниме, Я вои люблю аниме и Японию Нету но я хочу открыть забегаловку в Японии из зачего изучаю японский А вы
Это да Думаю Вы любите путешествовать как и я, Не так ли А вы любите природу
К примеру отдых на природе, Я тоже
Что вы можете рассказать о себе, Привет
Как тебя зовут Чем занимаешься, Марина Очень приятно
Какая умница, Я библиотекарь
В каждой работе есть свои нюансы Какие увлечения чем в свободное время занимаешься, В каком городе живешь
Челябинск, Еще пеку торты приезжай на тортик
2 часа на самолете, Поедим тортик и пойдем кататься на коньках сгонятьжирок  Посмотреть то есть на что только не всегда можнодышать нашим воздухом  Ты любишь плавать
А я летом плаваю хобби мое Домашние животные есть, Кошка Буду работать и тебя не отвлекать приятно было познакомиться
Пока, Привет
Как тебя зовут Я Андрей, Программирую целыми днями и ночами хочу разбогатетьна этом А ты чем занимаешься 
Приятно познакомиться Ална у тебя много друзей Как любишь развлекаться  Я что то заскучал совсемодин без друзей все разъехались Конечно мо хобби это чтение страсть как люблю читатькниги всякие Если ты модельер наверное хорошо разбираешьсяв моде Это интересно Какое твое хобби Кроме моды конечно, Модные костюмы приглядывала для охотников   Нетещ я холостой и одинокий программист  А ты однажившь 
Приветик, Может познакомимся Просто из за экзаменов у меняне так много времени на общение
Я Мария С самого детства родители помогали мне хорошоучиться И теперь мои оценки лучшие в классе, Ого У меня тоже есть маленький котенок Мы нашлиего на улице и приютили Он так мило прыгает когдая с ним играю Мне это очень нравится
Я учусь в 9 классе И ещ очень люблю играть в шахматы потому что это развивает логические способности, Привет  Как твои дела
Р какое твое хобби, Собаки такие душки И котики ничего а что еще тылюбишь
Я вот вышивать люблю, Я сопровождаю людей в поездах так романтично Прощеговоря бортпроводник А ты
Привет, Я лЮдмила А ты
Хорошо, Мясо это зло Люблю булочки В глазури
Я кстати тоже хороша в пекарном деле, А я библиотекарь
Простите отвлеклась Меня и корова есть, Так что мои булки всегда на свежем молоке
Умею Как раз рлра идти доить,  Приветик
У тебя есть животные Ау, Я тоже обожаю у меня 4 племянника
Шутите У меня три кошки  Кошкин дом Кем работаете, Это точно
Та же беда, А я люблю мультики
Смотрю с племянниками Ага мило, Сколько их к вам Сколько детей у вас Мечтаю выучить английский А вы
Привет, Как дела
Хорошо Чем занимаешься, Я тоже Слушаю музыку
Да я всякую люблю Меломан Чем любишь заниматься в свободное время, Да их я тоже слушаю
С собакой гуляю Лабрадор у меня, АгаКемто работаешь или учишься
Пекарь, Обожаю А ты
Ахахаха тоже неплохо да больше ничем пекарня мовс Работаю уже 7 лет, Привет меня зовут Олег а тебя
Хорошо СакураКем ты работаешь, У меня нет времени на тусовки я скоро заканчиваюорденатуру и буду врачом Поэтому времени мало Почему не поверю все бывает в этой жизни
Недавно вернулся из Китая ездили туда на каникулыс братьями У тебя есть домашние животные, Понятно Вчера купил себе собаку всегда мечтал
привт, я врач а ты
а я рыбалку, я коплю деньги на зогородный дом есть сын я женат а ты
о, свой 
это круто,  реп а ты
я такое нет, есть питомцы
кошка и собакен, Привет
Отлично Чем ты занимаешься, По жизни
Работаю Кем ты работаешь, Фрилансер А ты
Супер, Да
привет, Я тоже не замужем мо хобби читать книги Я преподаватель в школе
Ну почему же Она ведь твоя мама твоя семья,  Ну я больше  фантаскику люблю
привет, О Круто Можно сказать я тоже программист но программируюлюдей Скажем так нейрохакинг
Проще говоря я писатель, Могу писать так что люди сами не понимают где находятся Молодец Нравится
Я хорошо плаваю можем какнибудь вместе сходить, Какой твой любимый месяц года
привет, меня зовут Вероника рада знакомству
 ты откуда, класс а я из небольшой деревни  уже давно закончилаучебу училась на ветеренинара  очень люблю животных теперь у меня небольшая своя ферма  какие у тебя увлечения
я очень люблю готовить и енотов тоже еще у меня большой двухэтажный дом поэтому приходитсялюбить уборку , а как твои родители относятся к твоей прическе
ты с ними живешь, мне нравятся люди которые не боятся перемен да у меня есть два старших брата сестер нет
рада была пообщаться пора бежать, Привет Как прошел день
Круто у меня тоже есть две собаки А так весь деньбыла на работе на фабрике так что ничего интересного Чем занимаешься в свободное время, Я люблю вышивать выпекать булочки но без изюмау меня на него аллергия В детстве очень часто болелаи никто не мог понять из за чего а это просто былааллергия  Ооо  это секретная информация не могу ее разглашать Охранник в банке тоже ответственная и интересная работа
Нет и детей тоже нет А у тебя, Привет
Кто ты по профессии я учитель, Есть длмашние животные лично у меня котнок Я хорошо готовлю А твои хобби
Но готовка это вс что я успеваю просто я рано вышлазамуж и у меня двое детей , Что ещ раскажешь
Ого, Мне тоже машины нравятся но муж вс ни как не купит
Самооборона это важно, Ясно
Правельный папаша , Ну я пожалуй пойду
Привет как дела , Я работаю над книгой А ты
Я писатель пишу что вижу часто путишествую а ты, Это интернсно раскажи какие приложения может я встречалих
Косплей каких персонажей нравится , Мне по душе мортал комбат люблю боевые искуства нетк сожалению не играл в доту
Хорошее утро начинается с зеленого чая а ты что предпочитаеш, Ну да кофе бодрит  у меня изжога от него 
Если не секрет сколько тебе лет , ты молодой
Я женат и дочка есть как то быстро все случилось, Елюсли честно не искал отношений ты с какого орода
Я с алтая зовут Саня будем знакомы, Привет
Отлично Погода прелесть на душе радость а ты как, О Я тоже люблю тренировки Йогой увлекаюсь Частопутешествую и меня втянули в йогу на воде Слышалпро такое А жена у тебя увлекается спортом
У тебя их двое как и у меня, Семья  Да муж вечно пропадает со своим бизнесом я уже даже устала что вечно его не вижу Конечно зато я ни в чем не нуждаюсь  но  тяжело так Вот от скуки надумала открыть свой ресторан  придетек нам как открою  А ты чем еще увлекаешься Где рабтаешь
Привет Я в школе учусь а ты, Обожаю вязать и гулять Очень приятно познакомиться
Ой классно а я в восторге от котят Читаю Пушкина По вечерам Чем ещ увлекаешься, Да я бы тоже сделала
Слетала Ага Что ещ расскажешь о себе, Ой классно как это очень замечательно
Привет, Нарисовать картину я очень люблю рисковать Так жену с собой взять нужно Меня муж как то брал на рыбалку правда это былодавно так как сейчас нет возможности выбраться мужработает шахтером и нету толком времени Ещ я очень люблю летать на самолте
Что ещ расскажешь о себе  Какой у тебя цвет волос, Раньше путишествовала  в Турцию В Эстонию
Аха я тоже рыжая Повезло жене твоей, А мужу моему то в чем  
Ааа  муж изначально был против чтоб я в рыжий красилась Я ещ очень люблю кошечек  знаешь прям кошатница У меня аж четыре кошки , Аналогичная ситуация  но я таблетки пью от аллергии Так как очень люблю кошек как говорится без котаи жизнь не та
На ужин готовила картошку с мясом и под сыром в духовке, Да вкусно очень  не муж а мечта  у меня мужкартошку может пожарить и пюрешку сварить и все ноэто тоже достижение  А ты откуда  С России 
Я с Украины, С Днепра Лучше во Львов зимой там здорово очень Там очень разнообразные и своеобразные кафешки и тудалучше ехать зимой
Да там только по Украински Если у нас в Днепре ипо русски и по украински то если там заговорить порусски то заклюют А сколько тебе лет , Ну я думаю от 27 до 35 гдето  Точно сказать не смогу
привет чем занимаеся, а я готовлюочень люблю готовить
нет у мене двоэ детей боюсь шо будут иметь алергыю на шерсть, кем работаеш
я домохазяйка дома занимаюся йогой и детмы 29 а тебе, привет
Давай бегать по утрам вместе, Почему в горах  Я поеду в отпуск в горы классно мне кажется
Арбуз люблю, Работаю на работе Недавно дом купила А ты где работаешь
Ого Не работаешь, Везет а я чтобы дом купить пять лет работала Что за задание
Ну да, Нет животных Думаю собаку взять
Вот в отпуск поеду может привезу собаку, привет
как дела нет, а я покататься на машине было классно где ты работаешь
к сожалению я безработный а ты хобби после школы чем занимаешься, имеешь друзей чтобы повеселиться
круто мне бы так, я себя заскокоюю танцами
да танцы это все для меня ты здесь, я немного азартный человек
также я машиной на выходных еду на дачу люблю лотерею, ухх круто а еще что любишь
понятно мне пора идти пака, привет как дела
Интернет лагает Тт, Кем работаешь
Здорово нравится Работаю в пекарне, Ахпхах
Забавно, Спортсмен Очень тяжелая работа
Провожу время со своей семьй Женой детьми А ты, Красивые имена
Мы часто путешествуем У меня 2 ребенка, Мне понравилось в Таиланде т к там очень колоритно
Привет рада знакомству Ты откуда, Хорошо А у тебя
 А я из Минска Работаю тут учителем, У нас тоже самое но мне все равно нравится обожаюдетей и у меня самой есть сын так что я не жалуюсь А ты кто по профессии
ООО круто я бы тоже хотела собаку лабрадора номой муж дворник не разрешает  Обожаю кафе Там особенная уютная атмосфера каждыйдень бы туда ходила если бы не рабата  В свободное время играю в карты или танцую Я танцуюс детства так что вся полка в комнате завалена грамотамии кубками  ох  опять хвастаюсь не самая приятнаямоя черта, Ну может оно и к лучшему Как у вас с погодой У нас с утра снег а днм ужепрактически тепло Уже надоела зима и пуховик надоел Хочу весну 
Хип хоп в детстве танцевала а сейчас модерн в основноми контемпорари А у тебя какие увлечения, Привет давай знакомиться 
Я Оля а ты, Чем увлекаешься
Я домохозяйка у меня 3 детей Любим ездить с семьйза город на природу отдыхать, Любишь музыку
Я немного пою, А кто твой любимый исполнитель
Поп, Привет 
Чем занят, А я на работе в банке ещ пару часов и пойду домой Оо супер обожаю детей
Что нового, Нет завтра пятница ещ рабочий день
я пойду в грузинский ресторан обожаю Грузию а тыкакую кухню любишь, Ого дом здорово а я в однушка живу В однушке Обожаю читать изучаю гороскопы Я кстати рак А ты Хочешь расскажу прогноз на завтра
А кто ты по гороскопу, Ну могу сказать что стрельцов завтра ожидает непростой день но к вечеру все наладится будь аккуратнеена улике Улице Даа Рыбалка это здорово тоже бы съездила Порыбачить Но не с кем
О ну и хорошо все будет прекрасно, Расскажи пять фактов о себе которые никто не знает Я могу про себя рассказать
Русскую классику Обожаю, Толстой
А я обожаю Ремарка обожаю свою работу хочу найти2 половинку мечтаю о доме люблю спать Ой ладно клиент пришл прости пойду работать, Здравствуйте
Я лечу людей Ты женат, Я из другого теста учусь играть в шахматы
Люблю каратэ Когдато занимался целых 5 лет Хочу сына научить, И как Занимался
Каким спортом ещ увлекаешься, Недавно ходил на ледовую арену Правда малыши играли 2011 года рождения
Акбарс и ижсталь, Привет
Чем занимаешься, Нормально А я только проснулсялюблю долго спать Кем ты работаешь
Я тоже люблю море и пляж, А я менеджер Чем занимаешься в свободное время
Неттолько проснулся А я постоянно учу новые песни на гитаре, Высокооплачиваемая У вас дети есть
Привет Как дела , Что не найду жену Очень хочу найти жену А ты Чем увлекаешься
У меня есть дача на которой я очень люблю готовитьшашлыки и там много пауков А я хочу отдохнуть в горах Кем ты работаешь, Это классная мечта Я безработный а кем ты работаешь
Что да, Так сложилось
Какой специфики врач, Приятно было пообщаться
Привет, Как дела Чем занимаешься
У меня тоже настроение прекрасное Сегодня дочиталасвою любимую книгу я люблю много читать У тебя есть увлечение, Я люблю романы Кем ты работаешь
Я работаю бухгалтером у меня есть прекрасная дочь мы с ней часто ездим на море отдыхать а ты любишьпутешествовать, А где ты жившь
Это здорово А я ещ брелки коллекционирую это очень интереснодля меня, Моя дочь она для меня самое большое счастье
Спасибо ты очень приятный собеседник, Сколько тебе лет
Привет, Из москвы А ты
Хороший город А там как то был Я художник и пытаюсь по городам ездить рисоватькартины У меня есть жена и я ее очень люблю, Еще у нас есть ребенок и скоро он пойдет в 1 класс
А я люблю ходить в бассейн, Хороший город А тебе как Москва
Привет Как дела, Познакомимся Чем занимаешься Я из Тюмени
О Поздравляю, А я живу в пригороде сво хозяйство Развожу лис Сейчас у меня два лиснка живет
Занимаюсь зооволонтерством, Люди разные бывают Иногда людям нудно давать взбучку типа пранков или розыгрышей Как к такому относишься Я вот люблю забавные розыгрыши
Как то развлекаешься вообще Хобби может, Привет
Сейчас практикуюсь игре на гитаре уж очень увлекломеня это занятие А вы чем занимаетесь, велосипед прогулки Активный образ жизни это круто недавно осуществилсвою мечту и спрыгнул с парашютом Кем работаете
А я не работаю наверно будет лучше не раскрыватьвам всех карт своей деятельности , привет
Хорошо Я шансонье А ты, 3 года уже выступаю на сцене Я нравлюсь людям Не женат а ты
Я в разводе У меня столько нарядов что бывшая невыдержала и ушла от меня, Во сколько ты ложишься спать
Это здорово ты наверное хороший фельдшер И я люблю у меня кот есть а у тебя, Я думал у тебя рогатый скот есть
Я не люблю ложиться рано и в товать рано Я сова, привет
Мои хорошо А твои Чем ты увлекаешься, А я певица Какие ты пишешь книги
Петь песни мо хобби, У тебя есть детиа домашние животные Да и у меня двое детей
Нет не играю Но люблю когда кто то играет для меня Ты работаешь, Люблю когда играют на гитаре Ну и петь под гитаруконечно же Возле костра  А машину водите
Я люблю водить автомобиль, А парки любите
Авокадо могу есть килограммами Очень люблю салатс авокадо и креветками Пробовали такой Я живу около парка можно вместе погулять с моимидетьми, Очень рекомендую  Спасибо и вы
А у вас есть мечта, А я мечтаю уехать в Испанию
Да и жить там в маленьком доме у моря, Надеюсь она когдато исполнится
Привет, Меня зовут Виктор Как тебя зовут
В данный момент смотрю фильм ужасов Звонок Кстати я учитель физики А ты кем работаешь, Какое у тебя хобби Я вот люблю своего жако Рикки
Ничего себе Да я люблю путешествовать был в разных странах вИндии Турции Италии Тайланде Виталий а какой у тебя любимый цвет Я люблю одеваться во все белое потому что обожаюбелый цвет, Судя по цветы Виталий ты лидер
Я сангвиник, Я предложение своей девушке сделал на поляне с ромашками Она была в восторге
Мне тоже было приятно пообщаться с тобой Удачи тебево всем , Привет
Я менеджер в крупной компании Я Матвей Люблю водить машину а ты, Крутр  Мечтаю о новой квартире Люблю кошек
Я тоже одинокий, Понятно
Всему сво время, Понятно
Я писал уже что я менеджер в крупной компании Тоже, Не очень
Украина, Понятно
Винница, Пока нет но скоро буду уходить
Не сегодня извини, Ок Увидим
Спасибо, Пиво и рыбка
Да давно е ем ещ лет  Ладно батарея садится, Приятно было пообщаться
Добрый вечер, Как у вас дела Чем занимаетесь
Замечательно, Здорово любите готовить
Тоже люблю готовить для своей семьи кем работаете, Здорово а я временно не работаю официально но ведусвой бизнес в интернете Обожаю выезжать на свежий воздух очень хочу купитьогромное поместье за городом  а вы любите природу Вы здесь
Привет , Как тебя зовут
Я Дима Чем увлекаешься, А работа тоже со спортом связана
Женатдети, Я пока ещ не работаю
Люблю тоже спорт футбол Какая твоя мечта, Есть питомцы
Привет , Давай как тебя зовут ты откуда
Я живу в казарме Служу в Забайкалье офицером У тебяесть муж Чем по жизни занимаешься Аня Учишься или работаешь, Молодцы удачи вам А я тоже женат и люблю свою жену
Здорово Спорт конечно люблю закончил рау кафедрафизкультуры и спорта Обожаю кошек а ты, Похвально дружно живете
Как здорово Я сам люблю остренькое слышала естьтакой соус табан жан Умею его готовить и практическиво всю еду добавляю , Поищи в интернете рекомендую
Да мне тоже очень приятно, Благодарю за общение всего доброго
Привет Как настроение , Отлично дегустирую новый сорт вина из соседнего магазинчика Чем занимаешься
Я патологоанатом, А че тоже работа
Люблю алмазную вышивку вышивку крестиком очень расслабляет Ну и ездить на дачу Шашлычок пожарить, Это же отлично а например чего
Виктор а тебя, Будем знакомы 
Мне 43 золотой возраст, А тебе
Аха круто  Чем увлекаешься, Знаю сын играет  летом куда нибудь выбираетесьна отдых
А у меня нет братьев и сестр один в семье у мамыи папы Летом собираемся с женой на юг только вотпроблема плавать не умею, Вы как ездите отдыхать куда нибудь
В клубы или бары ходишь, Какой алкоголь предпочитаешь Я люблю отдохнуть ихорошо выпить
Я очень много выпиваю люблю хороший алкоголь и знаютолк в вине возраст видимо уже такой А шашлык кстати это лучшее что у меня получается делать Детками обзавелись, Я из Минска а ты откуда
Да, Сыну 21 студент вот и развлекается играми  А выдетками не обзавелись Дочурка есть
Тоже студент, Во сколько ты ее родил в 16  Молодой дед
А жене сколько, А ты
Ну дак тебя посадить могли за действия сексуальногохарактера с лицом не достигшим совершеннолетия какойуж тут гражданский брак сразу жениться бы пришлось эмансипацию проходить Уголовная ответственность за это как раз с 16 лет Я в 20 женился по большой любви, Э не в то время по таким статьям только так закрывали
Тем более беременность это же ЧП для Органов опеки, В 15 то лет Все проехали Ну да ладно взрослые ребята Молодцы что вместе Дочь растите
Я ж старый вот и ворчу , Без обид
А ну счастливо,  Да вот по этому и пиши Я всегда на связи
добрый вечер , неплохо а у вас чем занимаетесь
я например шансонье, что случилось
серьезная проблема, не волнуйтесь вы еще найдете себе работу
вы любите красиво одеваться тогда вам нужна хорошая работа у меня лично много нарядов, и я достаточно сильно нравлюсь людям я хочу продолжить выступая
уже 3 года выступаю а на вашу работы вы просыпались рано утром я не люблю просыпаться рано вы куда пропали, довольно часто летаю
ничего страшного в этом нет, велик кул
Привет что делаешь, А я слушаю шансон под лай собаки очень весело Чт спать сильно хочется люблю спать днем а ты Какое у тебя хобби
Ого Какое эгзотическое создание у тебя дома Без вопроса, Я могу к вам прибежать за конфету конечно
Без проблем, Здравствуйте
Хорошо проживаю в общежитии, К сожалению я уже давно не студентка у меня шестьдочек
У вас есть кошки Вот у меня их целых три Я вижу платья такая вот любимая работа, Я вяжу платья такая вот любимая работа
А я люблю писать стихи, Здравствуйте
Да спать скоро ложусь старые фильмы смотрела с учебыпришла учусь на журналиста А вы, У нас в Италии рыбалка запрещена
Персики люблю покушать, Не очень
Ну понятно, Нет с мамой живу только Она психолог
сама на журналиста учусь, До свидания
Добрый день, Чем вы увлекаетесь
У меня есть рыжий кот Я домохозяйка люблю печьТак же увлекаюсь косметологией Кем работаете, Класс ещ я очень хорошо плаваю и а у вас хобби есть
Тоже хорошо, Плавание Спасибо за общение до свидания
Привет, Меня Аня
Оригинально Чем занимаешься Человек работаешь, А я по профессии стоматолог А в свободное время люблюсмотреть фильмы о любви  А у тебя есть домашние животные
У меня шиншилла Маша А у тебя есть ещ какие увлечения помимо астрономии, привет
Я  да ничем наверное просто живу как живтся покупаю штуки всякие А ты, Ага есть Кстати с работой погрузчика то ты наморе хоть иногда катаешься Я вот просто обожаю плескатьсяв воде под лучами солнца
Привет Слушай я тут все дачу присматриваю можетпосоветуешь чего, Машины нет зато я люблю гулять пешком Но в принципеэто очень разумная идея Любишь музыку
Рок Вот и думаю что надо дачу без соседей чтобыможно было нормально слушать е  Сам бы себе и дизайннарисовал  Кем работаешь, Ага дизайнер я Путешествую по разным странам изучаюэтнические особенности разных народов Они все такиеразные  А ты любишь путешествовать
привет, Меня зовут Вадим
Сижу за компьютером общаюсь а ты, Сколько тебе лет Нет уже на пенсии
 Можно на ты, Думаю на какой фильм сходить в кино
привет, Ты работаешь
А мне приходится работать Каждый день ты школу ходитья учитель, У тебя есть семья У меня очень большая семья в деревне где мы живмтак принято У меня есть сын три дочери и предоставляешь 12 внуков 
Привет, Как дела
Все супер чем увлекаешься, Антон а тебя
Да я художник открыл свою галерею сейчас на нееработаю А ты кем работаешь, здорово а я в них вообще не разбираюсь даже маслохз как менять ахах
Рисую картины продаю моей семье нравится чем язарабатываю она у меня очень дружная всегда поддерживаемдруг друга Скоро поеду в Париж на выставку А у тебя есть мечта, Я мечтаю перебраться в париж там у меня много друзей А мне нравится весна не жарко
спаибо, Чем еще увлекаешься сколько тебе Я пиццу люблю и бургеры А ты
27, Мне было здорово с тобой пообщаться Но мне пора
Привет, Давай знакомиться
Оу хозяйственные мужчины надеюсь я не ошибласьочень нужны в дома Оу хозяйственные мужчины надеюсь я не ошибласьочень нужны в доме, Мое главное увлечение это дети Наверное поэтому у меня так много детей целых
Да и работу я себе выбрала по призванию  я няня Смотря как посмотреть, Я даже не знаю что это означает Отслужили а теперь работаете плотником Или это хобби
Поесть любят все но особым интересом к еде не отличаюсь, Мои дети тоже от не без ума
Вот только вернулись старшие из японского ресторана теперь пойдм гулять и возьмм с собой мяч Я люблю сидеть в тишине А вы, Привет
Знакомимся Я Сергей, эмммм Александр или Александра
Только вернулмся с утренней прогулки Собаки онитакие  Но если бы не они тоскливо бы было Люблюпса своего, В прошлом году вышел на пенсию уже год не знаю чембы себя занять Балу спасает
Осенью в лес с ним за грибами весной вот под дождемгуляем, Грибы Лес оч люблю Мечтаю курить бросить В армии никак без курева авот на гражданке надо что то решать Ты был в театре
Завтра пригласили в театр надо идти Что одеть каксебя вести даже не подозраеваю, Привет
У меня все в порядке У тебя как, Я из Благовещенска это город в Амурской области А ты Соглашусь только весна началась я уже заболела Приходится с температурой на работу ходить Страшно лишь бы гостей не заразила А то пришли в кафе запончиками а уйдут с простудой
Да меня отправляют на больничный но все же деньгилишними не будут Я же студентка родители особо непомогают Самой приходится выкручиваться А ты неработаешь или отгул взяла, муж работает а я сижу скучаю слежу за домом На др подарили кота чтобы не так одиноко было в перерывах между уборкой и готовкой играю с ним даже костюмчик сама связала мелкому сорванцу  Ау тебя время то на досуг остается или все учеба даработа На досуг не особо времени много но куда деваться С друзьями то увидеться не успеваю не говоря ужени о каком молодом человеке Мечтаю знаешь о любвинастоящей  искренней чистой а все никак Если нена учебе работе то отдыхаю дома Да вот как и ты время с кошкой своей провожу Люблю е очень сильно компанию мне всегда составляет А ты не хотела никогдана работу пойти Есть тяга к чему нибудь
привет, Хорошо У тебя как 
Чем занимаешься , А я безработный но я люблю готовить шашлык и хотелбы работать шашлычником А ты кем работаешь 
ООО круто у меня есть дача где я тоже отдыхаю ноу меня нету семьи хотел бы найти жену и завести детей А у тебя , ООО это очень здорово Повезло тебе
Я меломан слушаю все что по душе  А ты , Тяжлый роооок
Какие романы читали , Мне тоже надо бы начать читать книги моя мечта этоотдохнуть в горах и почитать книгу которая зацепитменя своим сюжетом ООО очень люблю спорт Баскетбол  ММА ярый болельщик
А у вас какая мечта , Я очень рад за вас все то что чего хотели в жизнидобились здоровья вам и вашей семье Какой спорт вы любите 
Лыжи это прекрасно и тяжлый спорт Но он того стоитвсе ощущения которые испытваешь при катание, добрый день
Валерия а вас, я домохозяйка так как сейчас сижу с ребнком дома но вообще люблю заниматься дизайном  а вы 
ооэто очень здорово  какиенибудь ещ есть увлечения я вот например люблю путешествовать даже этим летомв Крым собираюсь рвануть , очень надеюсь на то
завидую Вам зато мне до Байкала рукой подать, привет я художник а ты
рисую в основном пейзажи, еще я делаю собственную мебель
да а какая у тебя профессия, круто
в Москве ты, ты случайно не участвовал в препоследних выборах
а я участвовал и сразу после поражения решил закусить печаль едойна воздушном шаре так же я получил второе образование, привет
Я работник медицины а Ты, Очень люблю музыку особенно моцарта
Ооо А я плаваю Стихи нет Читаю книги А ты еш сладкое, А какая у тебя семья
Тоже самое, привет
я не учусь преподаю работаю учителем а ты, пишу редактирую перевожустатьи новости Ты сказала что ты студентка ноуже работаешь Ты учишься заочно
я не говорил что я студентка и вообще я парень в Московской школе  историю, привет
Как тебя зовут, Меня женя Нет хоккеем не интересуюсь Да и спортом вообще Не вышел ростом
Да очень люблю природу, Пойду займусь своим любимым делом приготовлю что нибудь вкусненькое
Привет Чем занимаешься, А я мама двух девочек Как тебя зовут
А у тебя есть дети Меня Юля, Не замужем
